match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick,player_id,player,agent,rating,acs,kill,death,assist,kast%,adr,hs%,fk,fd
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,mada,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,skuba,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,skuba,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,skuba,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,supamen,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,supamen,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,supamen,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,zerona,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,zerona,Unknown,,,0,0,0,,,,,
706378,0,Evil Geniuses,0,NRG,0,opponent win,N/A,N/A,0,zerona,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Asuna,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Cryocells,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Darker,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Darker,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Darker,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Timotino,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Timotino,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,Timotino,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,bang,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,bang,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,bang,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,cauanzin,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,cauanzin,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,cauanzin,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,erde,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,erde,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,erde,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,lukxo,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,lukxo,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,lukxo,Unknown,,,0,0,0,,,,,
706379,0,LOUD,0,100 Thieves,0,opponent win,N/A,N/A,0,tkzin,Unknown,,,0,0,0,,,,,
